Date,Open,High,Low,Close
2017-01-03,117.33,118.59,117.17,117.75
2017-01-04,117.71,118.18,117.06,117.24
2017-01-05,117.22,117.43,115.22,115.35
2017-01-06,115.37,117.16,115.08,117.0
2017-01-09,117.0,117.49,115.97,116.06
2017-01-10,115.84,116.31,115.18,115.75
2017-01-11,115.73,116.82,114.23,115.39
2017-01-12,115.46,115.49,113.75,114.72
2017-01-13,114.62,115.4,113.98,114.52
2017-01-16,114.41,114.46,113.63,114.18
2017-01-17,114.16,114.27,112.6,112.61
2017-01-18,112.68,114.74,112.63,114.64
2017-01-19,114.52,115.58,114.39,114.84
2017-01-20,114.97,115.38,114.22,114.54
2017-01-23,114.39,114.41,112.68,112.7
2017-01-24,112.73,113.88,112.5,113.79
2017-01-25,113.82,113.97,113.03,113.27
2017-01-26,113.27,114.84,113.06,114.54
2017-01-27,114.55,115.34,114.39,115.07
2017-01-30,114.97,114.97,113.45,113.78
2017-01-31,113.72,113.94,112.08,112.82
2017-02-01,112.85,113.91,112.62,113.25
2017-02-02,113.22,113.34,112.07,112.79
2017-02-03,112.81,113.39,112.33,112.6
2017-02-06,112.57,112.76,111.6,111.73
2017-02-07,111.81,112.55,111.6,112.38
2017-02-08,112.32,112.51,111.63,111.94
2017-02-09,111.9,113.31,111.75,113.23
2017-02-10,113.26,113.81,112.85,113.22
2017-02-13,113.51,114.14,113.43,113.74
2017-02-14,113.7,114.46,113.26,114.25
2017-02-15,114.28,114.94,113.87,114.17
2017-02-16,114.16,114.29,113.09,113.23
2017-02-17,113.2,113.48,112.63,112.86
2017-02-20,112.93,113.21,112.78,113.1
2017-02-21,113.11,113.75,113.07,113.68
2017-02-22,113.64,113.71,112.92,113.31
2017-02-23,113.31,113.44,112.55,112.62
2017-02-24,112.66,112.91,111.94,112.12
2017-02-27,112.15,112.81,111.93,112.69
2017-02-28,112.67,112.85,111.7,112.76
2017-03-01,112.83,114.01,112.77,113.72
2017-03-02,113.71,114.57,113.69,114.41
2017-03-03,114.37,114.71,113.82,114.01
2017-03-06,114.01,114.11,113.56,113.88
2017-03-07,113.89,114.11,113.72,113.98
2017-03-08,113.98,114.71,113.61,114.38
